,,,,,,,,,,,,,,
Dumpster,Month,Year,Date,Weight (tons),Volume (cubic yards),Plastic Bottles,Polystyrene,Cigarette Butts,Glass Bottles,Grocery Bags,Chip Bags,Sports Balls,Homes Powered*,
,February Total,,,31.28,144,13510,17140,145000,85,9000,15610,62,521,
233,March,2018,3/6/18,2.66,15,2210,2650,18000,11,1420,1710,7,44,
234,March,2018,3/6/18,2.64,15,2470,2810,19000,13,1540,1980,10,44,
,March Total,,,5.3,30,4680,5460,37000,24,2960,3690,17,88,
235,April,2018,4/16/18,4.3,15,2150,2300,23000,16,1320,2070,12,72,
236,April,2018,4/16/18,2.91,15,970,1100,8000,2,300,800,1,49,
237,April,2018,4/16/18,3.62,15,840,920,7000,3,290,650,4,60,
238,April,2018,4/16/18,2.4,12,790,910,8000,4,260,590,2,40,
239,April,2018,4/17/18,3.19,15,750,830,6000,3,190,400,4,53,
240,April,2018,4/17/18,3.03,15,810,890,5000,4,200,450,3,51,
241,April,2018,4/17/18,3.26,15,790,1020,6000,3,150,500,4,54,
242,April,2018,4/17/18,3.04,15,670,840,7000,2,230,620,3,51,
243,April,2018,4/18/18,3.09,15,710,910,7000,4,310,780,4,52,
244,April,2018,4/18/18,2.72,15,730,840,6000,6,280,640,2,45,
245,April,2018,4/18/18,3.65,15,820,980,7000,5,170,590,5,61,
246,April,2018,4/18/18,3.38,15,760,870,6000,3,240,720,1,56,
247,April,2018,4/18/18,3.44,15,670,780,6000,7,310,810,3,57,
248,April,2018,4/18/18,2.57,15,730,850,6000,2,110,570,2,43,
249,April,2018,4/20/18,3.36,15,750,870,7000,4,230,730,4,56,
250,April,2018,4/20/18,2.72,15,820,910,8000,3,190,610,2,45,
251,April,2018,4/26/18,3.81,15,1580,1870,12000,12,980,1560,3,64,
,April Total,,,54.49,252,15340,17690,135000,83,5760,13090,59,908,
252,May,2018,5/12/18,3.36,15,2130,2340,11000,9,1140,2140,4,56,
253,May,2018,5/14/18,4.29,15,2350,2130,14000,5,600,2350,5,72,
254,May,2018,5/14/18,4.29,15,2460,2370,17000,3,740,2570,3,72,
255,May,2018,5/16/18,4,15,1220,1360,8000,4,350,780,2,67,
256,May,2018,5/16/18,3.25,15,950,890,7000,3,250,1010,3,54,
257,May,2018,5/16/18,1.6,15,400,320,4000,2,210,780,0,27,
258,May,2018,5/17/18,3.62,15,1050,1170,6000,4,470,970,2,60,
